0,10300,0
10300,18540,1
18540,22660,0
22660,30900,2
30900,35020,0
35020,43260,3
43260,47380,0
47380,55620,4
55620,63860,0
63860,72100,5
72100,76220,0 
76220,82400,6
82400,86520,0 
86520,94760,7
94760,103000,0
103000,111240,8
111240,115360,0
115360,123600,9
123600,127720,0
127720,135960,10
135960,140080,0
140080,148320,11
148320,156560,0
156560,164800,1
164800,168920,0
168920,177160,2
177160,181280,0
181280,189520,3
189520,193640,0
193640,201880,4
201880,210120,0
210120,218360,5
218360,222480,0
222480,228660,6
228660,232780,0
232780,241020,7
241020,249260,0
249260,257500,8
257500,261620,0
261620,269860,9
269860,273980,0
273980,282220,10
282220,286340,0
286340,294580,11
294580,296640,0
